products pairs;sales num;support
('whole milk', 'other vegetables');736;0.0748
('whole milk', 'rolls/buns');557;0.0566
('whole milk', 'soda');394;0.0401
('whole milk', 'yogurt');551;0.056
('whole milk', 'bottled water');338;0.0344
('whole milk', 'root vegetables');481;0.0489
('whole milk', 'tropical fruit');416;0.0423
('whole milk', 'shopping bags');241;0.0245
('whole milk', 'sausage');294;0.0299
('whole milk', 'pastry');327;0.0332
('whole milk', 'citrus fruit');300;0.0305
('whole milk', 'bottled beer');201;0.0204
('whole milk', 'newspapers');269;0.0274
('whole milk', 'canned beer');87;0.0088
('whole milk', 'pip fruit');296;0.0301
('whole milk', 'fruit/vegetable juice');262;0.0266
('whole milk', 'whipped/sour cream');317;0.0322
('whole milk', 'brown bread');248;0.0252
('whole milk', 'domestic eggs');295;0.03
('whole milk', 'frankfurter');202;0.0205
('whole milk', 'margarine');238;0.0242
('whole milk', 'coffee');184;0.0187
('whole milk', 'pork');218;0.0222
('whole milk', 'butter');271;0.0276
('whole milk', 'curd');257;0.0261
('whole milk', 'beef');209;0.0213
('whole milk', 'napkins');194;0.0197
('whole milk', 'chocolate');164;0.0167
('whole milk', 'frozen vegetables');201;0.0204
('whole milk', 'chicken');173;0.0176
('whole milk', 'white bread');168;0.0171
('whole milk', 'cream cheese');162;0.0165
('whole milk', 'waffles');125;0.0127
('whole milk', 'salty snack');110;0.0112
('whole milk', 'long life bakery product');133;0.0135
('whole milk', 'dessert');135;0.0137
('whole milk', 'sugar');148;0.015
('whole milk', 'UHT-milk');39;0.004
('whole milk', 'berries');116;0.0118
('whole milk', 'hamburger meat');145;0.0147
('whole milk', 'hygiene articles');126;0.0128
('whole milk', 'onions');119;0.0121
('whole milk', 'specialty chocolate');79;0.008
('whole milk', 'candy');81;0.0082
('whole milk', 'frozen meals');97;0.0099
('whole milk', 'misc. beverages');69;0.007
('whole milk', 'oil');111;0.0113
('whole milk', 'butter milk');114;0.0116
('whole milk', 'specialty bar');64;0.0065
('whole milk', 'ham');113;0.0115
('whole milk', 'beverages');67;0.0068
('whole milk', 'meat');98;0.01
('whole milk', 'ice cream');58;0.0059
('whole milk', 'hard cheese');99;0.0101
('whole milk', 'sliced cheese');106;0.0108
('whole milk', 'cat food');87;0.0088
('whole milk', 'grapes');72;0.0073
